FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
0.423492349,0.684211850,0.620033085,0.738284707
0.424279928,0.684211850,0.620033085,0.738284707
0.425067507,0.684570611,0.620370388,0.738284707
0.425855086,0.684890091,0.620570421,0.738284707
0.426642664,0.684890091,0.620570421,0.738284707
0.427430243,0.685237229,0.620860934,0.738626957
0.428217822,0.685585201,0.620860934,0.738626957
0.429005401,0.685585201,0.620860934,0.738626957
0.429792979,0.685906112,0.621990383,0.738626957
0.430580558,0.686210811,0.622222245,0.738664448
0.431368137,0.686562359,0.622349083,0.738817871
0.432155716,0.686562359,0.622349083,0.738817871
0.432943294,0.686866820,0.622895598,0.738817871
0.433730873,0.687228084,0.624149680,0.739655197
0.434518452,0.687228084,0.624149680,0.739655197
0.435306031,0.687585533,0.625308156,0.740092158
0.436093609,0.687916756,0.625308156,0.740432620
0.436881188,0.687916756,0.625308156,0.740432620
0.437668767,0.688274920,0.625850320,0.740802705
0.438456346,0.688637435,0.625850320,0.740802705
0.439243924,0.688966334,0.625850320,0.741013825
0.440031503,0.688966334,0.625850320,0.741013825
0.440819082,0.689345479,0.626620591,0.741013825
0.441606661,0.689693809,0.626689196,0.741013825
0.442394239,0.689693809,0.626689196,0.741013825
0.443181818,0.690034926,0.626689196,0.741013825
0.443969397,0.690409541,0.627484858,0.741013825
0.444756976,0.690409541,0.627484858,0.741013825
0.445544554,0.690782845,0.627777755,0.741013825
0.446332133,0.691034317,0.628787875,0.741264582
0.447119712,0.691369891,0.628787875,0.741264582
0.447907291,0.691369891,0.628787875,0.741264582
0.448694869,0.691685855,0.628978252,0.741264582
0.449482448,0.692016542,0.628978252,0.741908014
0.450270027,0.692016542,0.628978252,0.741908014
0.451057606,0.692325652,0.629966915,0.741908014
0.451845185,0.692641854,0.629966915,0.742616057
0.452632763,0.692641854,0.629966915,0.742616057
0.453420342,0.692959130,0.631622493,0.742616057
0.454207921,0.693278491,0.631622493,0.742616057
0.454995500,0.693575859,0.631622493,0.742616057
0.455783078,0.693575859,0.631622493,0.742616057
0.456570657,0.693889737,0.634105980,0.742784381
0.457358236,0.694213629,0.634105980,0.743255019
0.458145815,0.694213629,0.634105980,0.743255019
0.458933393,0.694547534,0.634251297,0.743760407
0.459720972,0.694834948,0.634290516,0.744147182
0.460508551,0.694834948,0.634290516,0.744147182
0.461296130,0.695175767,0.634399295,0.744147182
0.462083708,0.695460677,0.636523247,0.744147182
0.462871287,0.695731103,0.636523247,0.744224429
0.463658866,0.695731103,0.636523247,0.744224429
0.464446445,0.696025610,0.636992216,0.744463384
0.465234023,0.696360171,0.636992216,0.744592369
0.466021602,0.696360171,0.636992216,0.744592369
0.466809181,0.696653068,0.637205362,0.744592369
0.467596760,0.696965337,0.637856543,0.744592369
0.468384338,0.696965337,0.637856543,0.744592369
0.469171917,0.697307944,0.638720810,0.744592369
0.469959496,0.697580338,0.638752043,0.744592369
0.470747075,0.697832525,0.639028490,0.745030224
0.471534653,0.697832525,0.639028490,0.745030224
0.472322232,0.698120713,0.639573097,0.745049477
0.473109811,0.698468387,0.640275359,0.745865941
0.473897390,0.698468387,0.640275359,0.745865941
0.474684968,0.698747098,0.640703499,0.745865941
0.475472547,0.699056089,0.641509414,0.745865941
0.476260126,0.699056089,0.641509414,0.745865941
0.477047705,0.699391723,0.641509414,0.745991588
0.477835284,0.699678361,0.643659711,0.745991588
0.478622862,0.700034916,0.643970490,0.746699691
0.479410441,0.700034916,0.643970490,0.746699691
0.480198020,0.700311720,0.644557834,0.747349799
0.480985599,0.700658917,0.644557834,0.748305082
0.481773177,0.700658917,0.644557834,0.748305082
0.482560756,0.700964749,0.644970417,0.748722315
0.483348335,0.701228738,0.644970417,0.748894811
0.484135914,0.701228738,0.644970417,0.748894811
0.484923492,0.701517105,0.645401835,0.748894811
0.485711071,0.701782823,0.646371961,0.748894811
0.486498650,0.702129662,0.646371961,0.749180317
0.487286229,0.702129662,0.646371961,0.749180317
0.488073807,0.702386141,0.646537840,0.749180317
0.488861386,0.702639759,0.646537840,0.749180317
0.489648965,0.702639759,0.646537840,0.749180317
0.490436544,0.702908218,0.646537840,0.749381721
0.491224122,0.703178585,0.648040056,0.750000000
0.492011701,0.703178585,0.648040056,0.750000000
0.492799280,0.703452170,0.648040056,0.750000000
0.493586859,0.703764498,0.648953319,0.750623465
0.494374437,0.704085112,0.648953319,0.751080394
0.495162016,0.704085112,0.648953319,0.751080394
0.495949595,0.704366446,0.648953319,0.751445115
0.496737174,0.704701424,0.649196982,0.751445115
0.497524752,0.704701424,0.649196982,0.751445115
0.498312331,0.704992592,0.649196982,0.751445115
0.499099910,0.705257893,0.650372803,0.751569510
0.499887489,0.705257893,0.650372803,0.751569510
0.500675068,0.705561399,0.650542140,0.751944661
0.501462646,0.705893159,0.650542140,0.752332509
0.502250225,0.705893159,0.650542140,0.752332509
0.503037804,0.706161797,0.650542140,0.752808988
0.503825383,0.706503689,0.652360499,0.753215432
0.504612961,0.706743717,0.652360499,0.753859341
0.505400540,0.706743717,0.652360499,0.753859341
0.506188119,0.707025349,0.652360499,0.753869951
0.506975698,0.707295179,0.652360499,0.753922403
0.507763276,0.707295179,0.652360499,0.753922403
0.508550855,0.707558453,0.652360499,0.753922403
0.509338434,0.707838476,0.652360499,0.753954291
0.510126013,0.707838476,0.652360499,0.753954291
0.510913591,0.708086789,0.652858317,0.754553318
0.511701170,0.708356917,0.654040396,0.754553318
0.512488749,0.708632767,0.656799972,0.754877031
0.513276328,0.708632767,0.656799972,0.754877031
0.514063906,0.708919406,0.657916307,0.755574644
0.514851485,0.709228754,0.657916307,0.755737722
0.515639064,0.709228754,0.657916307,0.755737722
0.516426643,0.709501982,0.657916307,0.755737722
0.517214221,0.709787965,0.657916307,0.756218910
0.518001800,0.709787965,0.657916307,0.756218910
0.518789379,0.710021079,0.658112586,0.756323755
0.519576958,0.710331559,0.658112586,0.756688952
0.520364536,0.710597038,0.658112586,0.756688952
0.521152115,0.710597038,0.658112586,0.756688952
0.521939694,0.710849643,0.658112586,0.757736504
0.522727273,0.711140752,0.658112586,0.757994831
0.523514851,0.711140752,0.658112586,0.757994831
0.524302430,0.711448014,0.658736646,0.758361220
0.525090009,0.711731672,0.658736646,0.758361220
0.525877588,0.711731672,0.658736646,0.758361220
0.526665167,0.711979568,0.658736646,0.758865237
